Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
fast4g,Light,1,780.00,780.00,0.01,false
fast4g,Light,2,236.00,0.00,0.01,false
fast4g,Light,3,216.00,0.00,0.01,false
fast4g,Light,4,220.00,0.00,0.01,false
fast4g,Light,5,216.00,0.00,0.01,false
fast4g,Light,6,216.00,0.00,0.01,false
fast4g,Light,7,216.00,0.00,0.01,false
fast4g,Light,8,224.00,0.00,0.01,false
fast4g,Light,9,216.00,0.00,0.01,false
fast4g,Light,10,220.00,0.00,0.01,false
fast4g,Light,11,216.00,0.00,0.01,false
fast4g,Light,12,216.00,0.00,0.01,false
fast4g,Light,13,220.00,0.00,0.01,false
fast4g,Light,14,204.00,0.00,0.01,false
fast4g,Light,15,212.00,0.00,0.01,false
fast4g,Light,16,212.00,0.00,0.01,false
fast4g,Light,17,216.00,0.00,0.01,false
fast4g,Light,18,660.00,0.00,0.01,false
fast4g,Light,19,216.00,0.00,0.01,false
fast4g,Light,20,220.00,0.00,0.01,false
fast4g,Light,21,220.00,0.00,0.01,false
fast4g,Light,22,232.00,0.00,0.01,false
fast4g,Light,23,212.00,0.00,0.01,false
fast4g,Light,24,228.00,0.00,0.01,false
fast4g,Light,25,240.00,0.00,0.01,false
fast4g,Light,26,232.00,0.00,0.01,false
fast4g,Light,27,216.00,0.00,0.01,false
fast4g,Light,28,224.00,0.00,0.01,false
fast4g,Light,29,220.00,0.00,0.01,false
fast4g,Light,30,232.00,0.00,0.01,false
fast4g,Medium,1,820.00,620.00,1.85,false
fast4g,Medium,2,616.00,164.00,1.85,false
fast4g,Medium,3,640.00,184.00,1.85,false
fast4g,Medium,4,396.00,160.00,1.85,false
fast4g,Medium,5,396.00,172.00,1.85,false
fast4g,Medium,6,400.00,168.00,1.85,false
fast4g,Medium,7,396.00,156.00,1.85,false
fast4g,Medium,8,396.00,228.00,1.85,false
fast4g,Medium,9,400.00,180.00,1.85,false
fast4g,Medium,10,400.00,300.00,1.85,false
fast4g,Medium,11,400.00,168.00,1.85,false
fast4g,Medium,12,400.00,168.00,1.85,false
fast4g,Medium,13,420.00,184.00,1.85,false
fast4g,Medium,14,392.00,156.00,1.85,false
fast4g,Medium,15,400.00,168.00,1.85,false
fast4g,Medium,16,404.00,228.00,1.85,false
fast4g,Medium,17,400.00,164.00,1.85,false
fast4g,Medium,18,404.00,236.00,1.85,false
fast4g,Medium,19,408.00,176.00,1.85,false
fast4g,Medium,20,412.00,192.00,1.85,false
fast4g,Medium,21,412.00,188.00,1.85,false
fast4g,Medium,22,416.00,184.00,1.85,false
fast4g,Medium,23,412.00,344.00,1.85,false
fast4g,Medium,24,408.00,176.00,1.85,false
fast4g,Medium,25,400.00,168.00,1.85,false
fast4g,Medium,26,400.00,164.00,1.85,false
fast4g,Medium,27,400.00,164.00,1.85,false
fast4g,Medium,28,420.00,344.00,1.85,false
fast4g,Medium,29,408.00,240.00,1.85,false
fast4g,Medium,30,400.00,300.00,1.85,false
fast4g,Heavy,1,4632.00,324.00,12.02,false
fast4g,Heavy,2,3528.00,172.00,12.02,false
fast4g,Heavy,3,3520.00,168.00,12.02,false
fast4g,Heavy,4,3268.00,152.00,12.02,false
fast4g,Heavy,5,3660.00,164.00,12.02,false
fast4g,Heavy,6,3612.00,160.00,12.02,false
fast4g,Heavy,7,4716.00,172.00,12.02,false
fast4g,Heavy,8,4264.00,156.00,12.02,false
fast4g,Heavy,9,3840.00,180.00,12.02,false
fast4g,Heavy,10,3344.00,156.00,12.02,false
fast4g,Heavy,11,3360.00,176.00,12.02,false
fast4g,Heavy,12,2884.00,160.00,12.02,false
fast4g,Heavy,13,2480.00,176.00,12.02,false
fast4g,Heavy,14,3520.00,168.00,12.02,false
fast4g,Heavy,15,3100.00,160.00,12.02,false
fast4g,Heavy,16,2568.00,168.00,12.02,false
fast4g,Heavy,17,2644.00,168.00,12.02,false
fast4g,Heavy,18,3124.00,148.00,12.02,false
fast4g,Heavy,19,3736.00,160.00,12.02,false
fast4g,Heavy,20,3340.00,180.00,12.02,false
fast4g,Heavy,21,2800.00,172.00,12.02,false
fast4g,Heavy,22,2184.00,168.00,12.02,false
fast4g,Heavy,23,2760.00,172.00,12.02,false
fast4g,Heavy,24,3528.00,164.00,12.02,false
fast4g,Heavy,25,3112.00,144.00,12.02,false
fast4g,Heavy,26,2704.00,168.00,12.02,false
fast4g,Heavy,27,2288.00,160.00,12.02,false
fast4g,Heavy,28,3148.00,160.00,12.02,false
fast4g,Heavy,29,3272.00,172.00,12.02,false
fast4g,Heavy,30,3168.00,168.00,12.02,false
