Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
fast4g,Light,1,44.20,44.20,0.01,true
fast4g,Light,2,36.70,36.70,0.01,true
fast4g,Light,3,28.60,28.60,0.01,true
fast4g,Light,4,36.00,36.00,0.01,true
fast4g,Light,5,41.30,0.00,0.01,true
fast4g,Light,6,40.70,0.00,0.01,true
fast4g,Light,7,35.70,35.70,0.01,true
fast4g,Light,8,30.90,30.90,0.01,true
fast4g,Light,9,35.10,35.10,0.01,true
fast4g,Light,10,44.00,0.00,0.01,true
fast4g,Light,11,32.70,32.70,0.01,true
fast4g,Light,12,48.60,0.00,0.01,true
fast4g,Light,13,43.40,43.40,0.01,true
fast4g,Light,14,31.70,31.70,0.01,true
fast4g,Light,15,39.40,39.40,0.01,true
fast4g,Light,16,37.60,37.60,0.01,true
fast4g,Light,17,48.60,48.60,0.01,true
fast4g,Light,18,47.20,0.00,0.01,true
fast4g,Light,19,648.00,0.00,0.01,false
fast4g,Light,20,164.00,0.00,0.01,false
fast4g,Light,21,35.40,35.40,0.01,true
fast4g,Light,22,46.20,0.00,0.01,true
fast4g,Light,23,42.30,0.00,0.01,true
fast4g,Light,24,39.30,0.00,0.01,true
fast4g,Light,25,33.70,33.70,0.01,true
fast4g,Light,26,43.70,43.70,0.01,true
fast4g,Light,27,33.80,33.80,0.01,true
fast4g,Light,28,33.40,33.40,0.01,true
fast4g,Light,29,41.20,0.00,0.01,true
fast4g,Light,30,33.80,33.80,0.01,true
fast4g,Medium,1,97.40,0.00,1.85,true
fast4g,Medium,2,101.40,0.00,1.85,true
fast4g,Medium,3,111.30,0.00,1.85,true
fast4g,Medium,4,107.70,0.00,1.85,true
fast4g,Medium,5,102.00,0.00,1.85,true
fast4g,Medium,6,96.70,0.00,1.85,true
fast4g,Medium,7,102.30,0.00,1.85,true
fast4g,Medium,8,86.00,0.00,1.85,true
fast4g,Medium,9,96.30,0.00,1.85,true
fast4g,Medium,10,116.50,0.00,1.85,true
fast4g,Medium,11,96.40,0.00,1.23,true
fast4g,Medium,12,61.70,0.00,0.21,true
fast4g,Medium,13,59.80,0.00,0.62,true
fast4g,Medium,14,103.80,0.00,1.85,true
fast4g,Medium,15,117.20,0.00,1.85,true
fast4g,Medium,16,101.50,0.00,1.85,true
fast4g,Medium,17,115.70,0.00,1.85,true
fast4g,Medium,18,102.30,0.00,1.85,true
fast4g,Medium,19,95.40,0.00,1.85,true
fast4g,Medium,20,104.90,0.00,1.85,true
fast4g,Medium,21,132.60,0.00,1.85,true
fast4g,Medium,22,104.60,0.00,1.85,true
fast4g,Medium,23,103.80,0.00,1.85,true
fast4g,Medium,24,106.30,0.00,1.85,true
fast4g,Medium,25,99.10,0.00,1.85,true
fast4g,Medium,26,110.60,0.00,1.85,true
fast4g,Medium,27,106.30,0.00,1.85,true
fast4g,Medium,28,105.60,0.00,1.85,true
fast4g,Medium,29,92.70,0.00,1.85,true
fast4g,Medium,30,103.90,0.00,1.85,true
fast4g,Heavy,1,484.70,0.00,2.40,true
fast4g,Heavy,2,445.60,0.00,4.81,true
fast4g,Heavy,3,244.90,0.00,4.81,true
fast4g,Heavy,4,697.60,0.00,2.40,true
fast4g,Heavy,5,2061.00,0.00,2.40,true
fast4g,Heavy,6,3598.70,0.00,4.81,true
fast4g,Heavy,7,220.90,0.00,4.81,true
fast4g,Heavy,8,266.90,0.00,4.81,true
fast4g,Heavy,9,220.00,0.00,2.40,true
fast4g,Heavy,10,2604.40,0.00,4.81,true
fast4g,Heavy,11,2042.50,0.00,2.40,true
fast4g,Heavy,12,781.80,0.00,2.40,true
fast4g,Heavy,13,3104.50,0.00,2.40,true
fast4g,Heavy,14,480.70,0.00,2.40,true
fast4g,Heavy,15,241.60,0.00,7.21,true
fast4g,Heavy,16,259.00,0.00,9.62,true
fast4g,Heavy,17,227.90,0.00,7.21,true
fast4g,Heavy,18,577.60,0.00,4.81,true
fast4g,Heavy,19,1119.00,0.00,4.81,true
fast4g,Heavy,20,232.40,0.00,2.40,true
fast4g,Heavy,21,1541.80,0.00,2.40,true
fast4g,Heavy,22,4499.40,0.00,2.40,true
fast4g,Heavy,23,1808.70,0.00,2.40,true
fast4g,Heavy,24,749.50,0.00,0.00,true
fast4g,Heavy,25,0.00,0.00,0.00,true
fast4g,Heavy,26,6812.00,96.00,12.02,false
fast4g,Heavy,27,4496.00,100.00,12.02,false
fast4g,Heavy,28,12836.00,116.00,12.02,false
fast4g,Heavy,29,2792.00,88.00,12.02,false
fast4g,Heavy,30,8484.00,120.00,12.02,false
