Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
slow3g,Light,1,TimeOut,TimeOut,0,FALSE
slow3g,Light,2,43.80,0.00,0.01,true
slow3g,Light,3,37.30,37.30,0.01,true
slow3g,Light,4,30.80,30.80,0.01,true
slow3g,Light,5,33.50,0.00,0.01,true
slow3g,Light,6,30.10,30.10,0.01,true
slow3g,Light,7,41.50,41.50,0.01,true
slow3g,Light,8,176.00,0.00,0.01,false
slow3g,Light,9,196.00,0.00,0.01,false
slow3g,Light,10,35.20,35.20,0.01,true
slow3g,Light,11,42.00,0.00,0.01,true
slow3g,Light,12,30.50,30.50,0.01,true
slow3g,Light,13,35.80,0.00,0.01,true
slow3g,Light,14,29.90,29.90,0.01,true
slow3g,Light,15,30.70,30.70,0.01,true
slow3g,Light,16,45.00,0.00,0.01,true
slow3g,Light,17,160.00,160.00,0.01,false
slow3g,Light,18,104.00,104.00,0.01,false
slow3g,Light,19,144.00,144.00,0.01,false
slow3g,Light,20,160.00,0.00,0.01,false
slow3g,Light,21,132.00,132.00,0.01,false
slow3g,Light,22,43.30,43.30,0.01,true
slow3g,Light,23,33.50,33.50,0.01,true
slow3g,Light,24,40.30,0.00,0.01,true
slow3g,Light,25,33.00,33.00,0.01,true
slow3g,Light,26,34.30,34.30,0.01,true
slow3g,Light,27,164.00,164.00,0.01,false
slow3g,Light,28,108.00,108.00,0.01,false
slow3g,Light,29,148.00,148.00,0.01,false
slow3g,Light,30,100.00,100.00,0.01,false
slow3g,Medium,1,420.00,140.00,1.85,false
slow3g,Medium,2,424.00,144.00,1.85,false
slow3g,Medium,3,484.00,144.00,1.85,false
slow3g,Medium,4,388.00,140.00,1.85,false
slow3g,Medium,5,420.00,164.00,1.85,false
slow3g,Medium,6,400.00,112.00,1.85,false
slow3g,Medium,7,508.00,124.00,1.85,false
slow3g,Medium,8,384.00,112.00,1.85,false
slow3g,Medium,9,904.00,112.00,1.85,false
slow3g,Medium,10,1040.00,116.00,1.85,false
slow3g,Medium,11,1288.00,112.00,1.85,false
slow3g,Medium,12,928.00,120.00,1.85,false
slow3g,Medium,13,1088.00,116.00,1.85,false
slow3g,Medium,14,1108.00,116.00,1.85,false
slow3g,Medium,15,904.00,108.00,1.85,false
slow3g,Medium,16,664.00,196.00,1.85,false
slow3g,Medium,17,828.00,112.00,1.85,false
slow3g,Medium,18,460.00,116.00,1.85,false
slow3g,Medium,19,684.00,528.00,1.85,false
slow3g,Medium,20,676.00,124.00,1.85,false
slow3g,Medium,21,516.00,112.00,1.85,false
slow3g,Medium,22,620.00,112.00,1.85,false
slow3g,Medium,23,888.00,108.00,1.85,false
slow3g,Medium,24,440.00,104.00,1.85,false
slow3g,Medium,25,372.00,120.00,1.85,false
slow3g,Medium,26,440.00,120.00,1.85,false
slow3g,Medium,27,424.00,108.00,1.85,false
slow3g,Medium,28,428.00,112.00,1.85,false
slow3g,Medium,29,428.00,112.00,1.85,false
slow3g,Medium,30,432.00,116.00,1.85,false
slow3g,Heavy,1,11960.00,108.00,12.02,false
slow3g,Heavy,2,8480.00,92.00,12.02,false
slow3g,Heavy,3,8040.00,200.00,12.02,false
slow3g,Heavy,4,8784.00,96.00,12.02,false
slow3g,Heavy,5,8404.00,104.00,12.02,false
slow3g,Heavy,6,4348.00,104.00,12.02,false
slow3g,Heavy,7,4240.00,88.00,12.02,false
slow3g,Heavy,8,3992.00,116.00,12.02,false
slow3g,Heavy,9,2752.00,112.00,12.02,false
slow3g,Heavy,10,1936.00,100.00,12.02,false
slow3g,Heavy,11,9156.00,112.00,12.02,false
slow3g,Heavy,12,2140.00,108.00,12.02,false
slow3g,Heavy,13,2092.00,108.00,12.02,false
slow3g,Heavy,14,2128.00,104.00,12.02,false
slow3g,Heavy,15,2248.00,108.00,12.02,false
slow3g,Heavy,16,7316.00,100.00,12.02,false
slow3g,Heavy,17,5888.00,96.00,12.02,false
slow3g,Heavy,18,5792.00,116.00,12.02,false
slow3g,Heavy,19,3564.00,92.00,12.02,false
slow3g,Heavy,20,2644.00,108.00,12.02,false
slow3g,Heavy,21,1164.00,112.00,12.02,false
slow3g,Heavy,22,4324.00,108.00,12.02,false
slow3g,Heavy,23,4016.00,104.00,12.02,false
slow3g,Heavy,24,2168.00,104.00,12.02,false
slow3g,Heavy,25,1636.00,112.00,12.02,false
slow3g,Heavy,26,2084.00,96.00,12.02,false
slow3g,Heavy,27,2872.00,112.00,12.02,false
slow3g,Heavy,28,5588.00,108.00,12.02,false
slow3g,Heavy,29,4216.00,100.00,12.02,false
slow3g,Heavy,30,8492.00,100.00,12.02,false
