Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
vanilla,Light,1,56.90,56.90,0.01,true
vanilla,Light,2,43.60,0.00,0.01,true
vanilla,Light,3,40.50,0.00,0.01,true
vanilla,Light,4,32.90,0.00,0.01,true
vanilla,Light,5,39.60,0.00,0.01,true
vanilla,Light,6,32.10,32.10,0.01,true
vanilla,Light,7,27.70,27.70,0.01,true
vanilla,Light,8,34.00,34.00,0.01,true
vanilla,Light,9,28.10,28.10,0.01,true
vanilla,Light,10,29.60,29.60,0.01,true
vanilla,Light,11,39.60,0.00,0.01,true
vanilla,Light,12,33.30,33.30,0.01,true
vanilla,Light,13,44.10,0.00,0.01,true
vanilla,Light,14,39.70,0.00,0.01,true
vanilla,Light,15,29.40,29.40,0.01,true
vanilla,Light,16,38.50,0.00,0.01,true
vanilla,Light,17,31.40,31.40,0.01,true
vanilla,Light,18,30.10,30.10,0.01,true
vanilla,Light,19,43.60,0.00,0.01,true
vanilla,Light,20,31.30,31.30,0.01,true
vanilla,Light,21,25.80,0.00,0.01,true
vanilla,Light,22,42.20,0.00,0.01,true
vanilla,Light,23,41.10,0.00,0.01,true
vanilla,Light,24,36.90,36.90,0.01,true
vanilla,Light,25,26.90,26.90,0.01,true
vanilla,Light,26,34.70,0.00,0.01,true
vanilla,Light,27,40.70,0.00,0.01,true
vanilla,Light,28,43.00,0.00,0.01,true
vanilla,Light,29,39.50,0.00,0.01,true
vanilla,Light,30,41.80,0.00,0.01,true
vanilla,Medium,1,110.60,0.00,1.85,true
vanilla,Medium,2,91.70,0.00,1.85,true
vanilla,Medium,3,96.80,0.00,1.85,true
vanilla,Medium,4,121.50,0.00,1.85,true
vanilla,Medium,5,105.40,0.00,1.85,true
vanilla,Medium,6,101.50,0.00,1.85,true
vanilla,Medium,7,105.30,0.00,1.85,true
vanilla,Medium,8,94.10,0.00,1.85,true
vanilla,Medium,9,99.40,0.00,1.85,true
vanilla,Medium,10,106.60,0.00,1.85,true
vanilla,Medium,11,102.10,0.00,1.85,true
vanilla,Medium,12,84.80,0.00,1.85,true
vanilla,Medium,13,78.70,0.00,1.85,true
vanilla,Medium,14,83.40,0.00,1.85,true
vanilla,Medium,15,94.70,0.00,1.85,true
vanilla,Medium,16,100.10,0.00,1.85,true
vanilla,Medium,17,102.30,0.00,1.85,true
vanilla,Medium,18,102.20,0.00,1.85,true
vanilla,Medium,19,105.50,0.00,1.85,true
vanilla,Medium,20,83.60,0.00,1.85,true
vanilla,Medium,21,97.50,0.00,1.85,true
vanilla,Medium,22,86.50,0.00,1.85,true
vanilla,Medium,23,102.70,0.00,1.85,true
vanilla,Medium,24,90.00,0.00,1.85,true
vanilla,Medium,25,102.50,0.00,1.85,true
vanilla,Medium,26,98.90,0.00,1.85,true
vanilla,Medium,27,101.30,0.00,1.85,true
vanilla,Medium,28,91.80,0.00,1.85,true
vanilla,Medium,29,96.30,0.00,1.85,true
vanilla,Medium,30,97.50,0.00,1.85,true
vanilla,Heavy,1,250.10,0.00,7.21,true
vanilla,Heavy,2,253.10,0.00,12.02,true
vanilla,Heavy,3,212.20,0.00,7.21,true
vanilla,Heavy,4,224.90,0.00,12.02,true
vanilla,Heavy,5,208.80,0.00,7.21,true
vanilla,Heavy,6,232.90,0.00,7.21,true
vanilla,Heavy,7,262.00,0.00,4.81,true
vanilla,Heavy,8,209.50,0.00,7.21,true
vanilla,Heavy,9,235.30,0.00,7.21,true
vanilla,Heavy,10,221.60,0.00,12.02,true
vanilla,Heavy,11,225.60,0.00,7.21,true
vanilla,Heavy,12,217.00,0.00,12.02,true
vanilla,Heavy,13,239.30,0.00,12.02,true
vanilla,Heavy,14,3164.30,0.00,4.81,true
vanilla,Heavy,15,3298.50,0.00,2.40,true
vanilla,Heavy,16,267.30,0.00,4.81,true
vanilla,Heavy,17,301.10,0.00,7.21,true
vanilla,Heavy,18,230.30,0.00,4.81,true
vanilla,Heavy,19,256.80,0.00,4.81,true
vanilla,Heavy,20,211.40,0.00,7.21,true
vanilla,Heavy,21,204.20,0.00,12.02,true
vanilla,Heavy,22,0.00,0.00,0.00,true
vanilla,Heavy,23,3545.00,0.00,0.00,true
vanilla,Heavy,24,4475.50,0.00,0.00,true
vanilla,Heavy,25,3116.40,0.00,0.00,true
vanilla,Heavy,26,3973.40,0.00,0.00,true
vanilla,Heavy,27,0.00,0.00,0.00,true
vanilla,Heavy,28,3299.40,0.00,0.00,true
vanilla,Heavy,29,0.00,0.00,0.00,true
vanilla,Heavy,30,1169.10,0.00,0.00,true
