Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
fast3g,Light,1,876.00,0.00,0.01,false
fast3g,Light,2,232.00,0.00,0.01,false
fast3g,Light,3,248.00,0.00,0.01,false
fast3g,Light,4,216.00,0.00,0.01,false
fast3g,Light,5,240.00,0.00,0.01,false
fast3g,Light,6,228.00,0.00,0.01,false
fast3g,Light,7,232.00,0.00,0.01,false
fast3g,Light,8,212.00,0.00,0.01,false
fast3g,Light,9,236.00,0.00,0.01,false
fast3g,Light,10,164.00,164.00,0.01,false
fast3g,Light,11,240.00,0.00,0.01,false
fast3g,Light,12,168.00,168.00,0.01,false
fast3g,Light,13,236.00,0.00,0.01,false
fast3g,Light,14,168.00,168.00,0.01,false
fast3g,Light,15,224.00,0.00,0.01,false
fast3g,Light,16,216.00,0.00,0.01,false
fast3g,Light,17,224.00,0.00,0.01,false
fast3g,Light,18,692.00,0.00,0.01,false
fast3g,Light,19,232.00,0.00,0.01,false
fast3g,Light,20,176.00,176.00,0.01,false
fast3g,Light,21,220.00,0.00,0.01,false
fast3g,Light,22,176.00,176.00,0.01,false
fast3g,Light,23,232.00,0.00,0.01,false
fast3g,Light,24,236.00,0.00,0.01,false
fast3g,Light,25,232.00,0.00,0.01,false
fast3g,Light,26,228.00,0.00,0.01,false
fast3g,Light,27,156.00,156.00,0.01,false
fast3g,Light,28,228.00,0.00,0.01,false
fast3g,Light,29,228.00,0.00,0.01,false
fast3g,Light,30,232.00,0.00,0.01,false
fast3g,Medium,1,988.00,412.00,1.85,false
fast3g,Medium,2,388.00,152.00,1.85,false
fast3g,Medium,3,392.00,148.00,1.85,false
fast3g,Medium,4,396.00,156.00,1.85,false
fast3g,Medium,5,400.00,344.00,1.85,false
fast3g,Medium,6,404.00,168.00,1.85,false
fast3g,Medium,7,664.00,532.00,1.85,false
fast3g,Medium,8,408.00,180.00,1.85,false
fast3g,Medium,9,416.00,168.00,1.85,false
fast3g,Medium,10,688.00,192.00,1.85,false
fast3g,Medium,11,596.00,284.00,1.85,false
fast3g,Medium,12,404.00,180.00,1.85,false
fast3g,Medium,13,404.00,172.00,1.85,false
fast3g,Medium,14,416.00,164.00,1.85,false
fast3g,Medium,15,412.00,168.00,1.85,false
fast3g,Medium,16,464.00,220.00,1.85,false
fast3g,Medium,17,400.00,236.00,1.85,false
fast3g,Medium,18,432.00,384.00,1.85,false
fast3g,Medium,19,412.00,192.00,1.85,false
fast3g,Medium,20,536.00,164.00,1.85,false
fast3g,Medium,21,408.00,176.00,1.85,false
fast3g,Medium,22,400.00,176.00,1.85,false
fast3g,Medium,23,408.00,188.00,1.85,false
fast3g,Medium,24,408.00,164.00,1.85,false
fast3g,Medium,25,412.00,312.00,1.85,false
fast3g,Medium,26,412.00,192.00,1.85,false
fast3g,Medium,27,460.00,188.00,1.85,false
fast3g,Medium,28,428.00,356.00,1.85,false
fast3g,Medium,29,408.00,164.00,1.85,false
fast3g,Medium,30,404.00,172.00,1.85,false
fast3g,Heavy,1,380.00,380.00,12.02,false
fast3g,Heavy,2,2276.00,156.00,12.02,false
fast3g,Heavy,3,2220.00,180.00,12.02,false
fast3g,Heavy,4,3288.00,168.00,12.02,false
fast3g,Heavy,5,8632.00,344.00,12.02,false
fast3g,Heavy,6,1656.00,176.00,12.02,false
fast3g,Heavy,7,3572.00,184.00,12.02,false
fast3g,Heavy,8,9516.00,156.00,12.02,false
fast3g,Heavy,9,5268.00,140.00,12.02,false
fast3g,Heavy,10,2900.00,172.00,12.02,false
fast3g,Heavy,11,2720.00,168.00,12.02,false
fast3g,Heavy,12,9412.00,188.00,12.02,false
fast3g,Heavy,13,6036.00,172.00,12.02,false
fast3g,Heavy,14,2352.00,184.00,12.02,false
fast3g,Heavy,15,3264.00,180.00,12.02,false
fast3g,Heavy,16,4192.00,164.00,12.02,false
fast3g,Heavy,17,9736.00,184.00,12.02,false
fast3g,Heavy,18,5872.00,156.00,12.02,false
fast3g,Heavy,19,6688.00,180.00,12.02,false
fast3g,Heavy,20,4592.00,156.00,12.02,false
fast3g,Heavy,21,2528.00,180.00,12.02,false
fast3g,Heavy,22,2676.00,184.00,12.02,false
fast3g,Heavy,23,3608.00,184.00,12.02,false
fast3g,Heavy,24,6268.00,184.00,12.02,false
fast3g,Heavy,25,8920.00,148.00,12.02,false
fast3g,Heavy,26,2960.00,156.00,12.02,false
fast3g,Heavy,27,3268.00,184.00,12.02,false
fast3g,Heavy,28,3324.00,172.00,12.02,false
fast3g,Heavy,29,8320.00,188.00,12.02,false
fast3g,Heavy,30,6244.00,156.00,12.02,false
