Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
slow3g,Light,1,424.00,424.00,0.01,false
slow3g,Light,2,172.00,172.00,0.01,false
slow3g,Light,3,276.00,0.00,0.01,false
slow3g,Light,4,164.00,164.00,0.01,false
slow3g,Light,5,708.00,0.00,0.01,false
slow3g,Light,6,232.00,0.00,0.01,false
slow3g,Light,7,176.00,176.00,0.01,false
slow3g,Light,8,208.00,208.00,0.01,false
slow3g,Light,9,172.00,172.00,0.01,false
slow3g,Light,10,216.00,216.00,0.01,false
slow3g,Light,11,168.00,168.00,0.01,false
slow3g,Light,12,216.00,216.00,0.01,false
slow3g,Light,13,160.00,160.00,0.01,false
slow3g,Light,14,208.00,208.00,0.01,false
slow3g,Light,15,168.00,168.00,0.01,false
slow3g,Light,16,216.00,216.00,0.01,false
slow3g,Light,17,160.00,160.00,0.01,false
slow3g,Light,18,680.00,680.00,0.01,false
slow3g,Light,19,200.00,200.00,0.01,false
slow3g,Light,20,156.00,156.00,0.01,false
slow3g,Light,21,204.00,204.00,0.01,false
slow3g,Light,22,164.00,164.00,0.01,false
slow3g,Light,23,212.00,212.00,0.01,false
slow3g,Light,24,168.00,168.00,0.01,false
slow3g,Light,25,216.00,216.00,0.01,false
slow3g,Light,26,168.00,168.00,0.01,false
slow3g,Light,27,220.00,220.00,0.01,false
slow3g,Light,28,160.00,160.00,0.01,false
slow3g,Light,29,292.00,0.00,0.01,false
slow3g,Light,30,168.00,168.00,0.01,false
slow3g,Medium,1,1316.00,460.00,1.85,false
slow3g,Medium,2,496.00,224.00,1.85,false
slow3g,Medium,3,756.00,308.00,1.85,false
slow3g,Medium,4,508.00,224.00,1.85,false
slow3g,Medium,5,488.00,220.00,1.85,false
slow3g,Medium,6,484.00,224.00,1.85,false
slow3g,Medium,7,492.00,224.00,1.85,false
slow3g,Medium,8,496.00,216.00,1.85,false
slow3g,Medium,9,544.00,224.00,1.85,false
slow3g,Medium,10,548.00,220.00,1.85,false
slow3g,Medium,11,480.00,224.00,1.85,false
slow3g,Medium,12,496.00,236.00,1.85,false
slow3g,Medium,13,484.00,216.00,1.85,false
slow3g,Medium,14,488.00,220.00,1.85,false
slow3g,Medium,15,492.00,224.00,1.85,false
slow3g,Medium,16,496.00,228.00,1.85,false
slow3g,Medium,17,484.00,236.00,1.85,false
slow3g,Medium,18,492.00,224.00,1.85,false
slow3g,Medium,19,492.00,236.00,1.85,false
slow3g,Medium,20,492.00,220.00,1.85,false
slow3g,Medium,21,484.00,228.00,1.85,false
slow3g,Medium,22,492.00,228.00,1.85,false
slow3g,Medium,23,524.00,248.00,1.85,false
slow3g,Medium,24,504.00,248.00,1.85,false
slow3g,Medium,25,508.00,224.00,1.85,false
slow3g,Medium,26,428.00,180.00,1.85,false
slow3g,Medium,27,440.00,168.00,1.85,false
slow3g,Medium,28,428.00,168.00,1.85,false
slow3g,Medium,29,484.00,200.00,1.85,false
slow3g,Medium,30,460.00,176.00,1.85,false
slow3g,Heavy,1,460.00,460.00,12.02,false
slow3g,Heavy,2,2348.00,228.00,12.02,false
slow3g,Heavy,3,3036.00,244.00,12.02,false
slow3g,Heavy,4,6340.00,172.00,12.02,false
slow3g,Heavy,5,7408.00,184.00,12.02,false
slow3g,Heavy,6,7028.00,188.00,12.02,false
slow3g,Heavy,7,5544.00,180.00,12.02,false
slow3g,Heavy,8,2876.00,188.00,12.02,false
slow3g,Heavy,9,2148.00,180.00,12.02,false
slow3g,Heavy,10,5912.00,184.00,12.02,false
slow3g,Heavy,11,4896.00,172.00,12.02,false
slow3g,Heavy,12,9152.00,176.00,12.02,false
slow3g,Heavy,13,2856.00,164.00,12.02,false
slow3g,Heavy,14,9560.00,180.00,12.02,false
slow3g,Heavy,15,11048.00,168.00,12.02,false
slow3g,Heavy,16,3836.00,168.00,12.02,false
slow3g,Heavy,17,6224.00,168.00,12.02,false
slow3g,Heavy,18,8556.00,196.00,12.02,false
slow3g,Heavy,19,6340.00,168.00,12.02,false
slow3g,Heavy,20,6220.00,172.00,12.02,false
slow3g,Heavy,21,1624.00,188.00,12.02,false
slow3g,Heavy,22,3536.00,180.00,12.02,false
slow3g,Heavy,23,5080.00,180.00,12.02,false
slow3g,Heavy,24,3548.00,176.00,12.02,false
slow3g,Heavy,25,2372.00,192.00,12.02,false
slow3g,Heavy,26,3212.00,172.00,12.02,false
slow3g,Heavy,27,3120.00,188.00,12.02,false
slow3g,Heavy,28,3720.00,176.00,12.02,false
slow3g,Heavy,29,3932.00,172.00,12.02,false
slow3g,Heavy,30,7808.00,176.00,12.02,false
