Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
vanilla,Light,1,92.90,92.90,0.01,true
vanilla,Light,2,72.60,0.00,0.01,true
vanilla,Light,3,94.30,0.00,0.01,true
vanilla,Light,4,74.20,0.00,0.01,true
vanilla,Light,5,91.60,0.00,0.01,true
vanilla,Light,6,97.30,0.00,0.01,true
vanilla,Light,7,86.50,0.00,0.01,true
vanilla,Light,8,90.00,0.00,0.01,true
vanilla,Light,9,94.80,0.00,0.01,true
vanilla,Light,10,103.50,0.00,0.01,true
vanilla,Light,11,90.20,0.00,0.01,true
vanilla,Light,12,80.10,0.00,0.01,true
vanilla,Light,13,71.50,0.00,0.01,true
vanilla,Light,14,92.30,0.00,0.01,true
vanilla,Light,15,71.00,0.00,0.01,true
vanilla,Light,16,91.50,0.00,0.01,true
vanilla,Light,17,84.50,0.00,0.01,true
vanilla,Light,18,99.30,0.00,0.01,true
vanilla,Light,19,102.20,0.00,0.01,true
vanilla,Light,20,89.60,0.00,0.01,true
vanilla,Light,21,82.00,0.00,0.01,true
vanilla,Light,22,105.70,0.00,0.01,true
vanilla,Light,23,105.80,0.00,0.01,true
vanilla,Light,24,79.90,0.00,0.01,true
vanilla,Light,25,101.00,0.00,0.01,true
vanilla,Light,26,95.00,0.00,0.01,true
vanilla,Light,27,89.00,0.00,0.01,true
vanilla,Light,28,94.10,0.00,0.01,true
vanilla,Light,29,98.70,0.00,0.01,true
vanilla,Light,30,84.20,0.00,0.01,true
vanilla,Medium,1,251.90,0.00,1.85,true
vanilla,Medium,2,112.30,0.00,1.85,true
vanilla,Medium,3,100.80,0.00,1.85,true
vanilla,Medium,4,107.60,0.00,1.85,true
vanilla,Medium,5,100.70,0.00,1.85,true
vanilla,Medium,6,105.00,0.00,1.85,true
vanilla,Medium,7,118.90,0.00,1.85,true
vanilla,Medium,8,95.00,0.00,1.85,true
vanilla,Medium,9,109.70,0.00,1.85,true
vanilla,Medium,10,87.40,0.00,1.85,true
vanilla,Medium,11,104.50,0.00,1.85,true
vanilla,Medium,12,111.40,0.00,1.85,true
vanilla,Medium,13,106.60,0.00,1.85,true
vanilla,Medium,14,92.80,0.00,1.85,true
vanilla,Medium,15,89.60,0.00,1.85,true
vanilla,Medium,16,91.30,0.00,1.85,true
vanilla,Medium,17,105.50,0.00,1.85,true
vanilla,Medium,18,107.30,0.00,1.85,true
vanilla,Medium,19,113.10,0.00,1.85,true
vanilla,Medium,20,384.00,152.00,1.85,false
vanilla,Medium,21,106.30,0.00,1.85,true
vanilla,Medium,22,92.00,0.00,1.85,true
vanilla,Medium,23,95.10,0.00,1.85,true
vanilla,Medium,24,90.50,0.00,1.85,true
vanilla,Medium,25,93.60,0.00,1.85,true
vanilla,Medium,26,109.90,0.00,1.85,true
vanilla,Medium,27,101.60,0.00,1.85,true
vanilla,Medium,28,101.00,0.00,1.85,true
vanilla,Medium,29,105.10,0.00,1.85,true
vanilla,Medium,30,108.50,0.00,1.85,true
vanilla,Heavy,1,119.20,0.00,12.02,true
vanilla,Heavy,2,133.50,0.00,12.02,true
vanilla,Heavy,3,187.80,0.00,7.21,true
vanilla,Heavy,4,126.10,0.00,12.02,true
vanilla,Heavy,5,135.60,0.00,12.02,true
vanilla,Heavy,6,137.60,0.00,12.02,true
vanilla,Heavy,7,144.30,0.00,4.81,true
vanilla,Heavy,8,180.30,0.00,12.02,true
vanilla,Heavy,9,161.50,0.00,12.02,true
vanilla,Heavy,10,137.20,0.00,12.02,true
vanilla,Heavy,11,144.10,0.00,12.02,true
vanilla,Heavy,12,143.30,0.00,12.02,true
vanilla,Heavy,13,123.70,0.00,12.02,true
vanilla,Heavy,14,3268.20,0.00,4.81,true
vanilla,Heavy,15,157.10,0.00,12.02,true
vanilla,Heavy,16,151.40,0.00,12.02,true
vanilla,Heavy,17,204.70,0.00,12.02,true
vanilla,Heavy,18,170.40,0.00,12.02,true
vanilla,Heavy,19,162.10,0.00,12.02,true
vanilla,Heavy,20,144.50,0.00,12.02,true
vanilla,Heavy,21,166.70,0.00,12.02,true
vanilla,Heavy,22,131.90,0.00,12.02,true
vanilla,Heavy,23,123.60,0.00,12.02,true
vanilla,Heavy,24,137.20,0.00,12.02,true
