Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
5G,Light,1,124.80,0.00,0.01,true
5G,Light,2,94.10,0.00,0.00,true
5G,Light,3,92.90,0.00,0.00,true
5G,Light,4,168.60,0.00,0.00,true
5G,Light,5,120.50,0.00,0.00,true
5G,Light,6,93.90,0.00,0.00,true
5G,Light,7,90.70,0.00,0.00,true
5G,Light,8,93.10,0.00,0.00,true
5G,Light,9,93.00,0.00,0.00,true
5G,Light,10,93.70,0.00,0.00,true
5G,Light,11,97.70,0.00,0.00,true
5G,Light,12,88.90,0.00,0.00,true
5G,Light,13,94.90,0.00,0.00,true
5G,Light,14,91.90,0.00,0.00,true
5G,Light,15,85.50,0.00,0.00,true
5G,Light,16,93.30,0.00,0.00,true
5G,Light,17,86.30,0.00,0.00,true
5G,Light,18,88.30,0.00,0.00,true
5G,Light,19,90.20,0.00,0.00,true
5G,Light,20,97.40,0.00,0.00,true
5G,Light,21,95.70,0.00,0.00,true
5G,Light,22,81.00,0.00,0.00,true
5G,Light,23,134.70,0.00,0.00,true
5G,Light,24,92.00,0.00,0.00,true
5G,Light,25,92.90,0.00,0.00,true
5G,Light,26,95.60,0.00,0.00,true
5G,Light,27,94.90,0.00,0.00,true
5G,Light,28,90.90,0.00,0.00,true
5G,Light,29,93.50,0.00,0.00,true
5G,Light,30,104.00,0.00,0.00,false
5G,Medium,1,124.00,0.00,0.00,true
5G,Medium,2,101.90,0.00,0.00,true
5G,Medium,3,113.50,0.00,0.00,true
5G,Medium,4,100.60,0.00,0.00,true
5G,Medium,5,111.20,0.00,0.00,true
5G,Medium,6,105.30,0.00,0.00,true
5G,Medium,7,107.40,0.00,0.00,true
5G,Medium,8,99.20,0.00,0.00,true
5G,Medium,9,111.90,0.00,0.00,true
5G,Medium,10,104.00,0.00,0.00,true
5G,Medium,11,96.50,0.00,0.00,true
5G,Medium,12,130.70,0.00,0.00,true
5G,Medium,13,104.00,0.00,0.00,true
5G,Medium,14,117.70,0.00,0.00,true
5G,Medium,15,107.70,0.00,0.00,true
5G,Medium,16,131.80,0.00,0.00,true
5G,Medium,17,100.20,0.00,0.00,true
5G,Medium,18,131.10,0.00,0.00,true
5G,Medium,19,100.70,0.00,0.00,true
5G,Medium,20,107.80,0.00,0.00,true
5G,Medium,21,108.70,0.00,0.00,true
5G,Medium,22,94.00,0.00,0.00,true
5G,Medium,23,96.70,0.00,0.00,true
5G,Medium,24,95.50,0.00,0.00,true
5G,Medium,25,104.00,0.00,0.00,true
5G,Medium,26,127.60,0.00,0.00,true
5G,Medium,27,99.20,0.00,0.00,true
5G,Medium,28,111.80,0.00,0.00,true
5G,Medium,29,101.70,0.00,0.00,true
5G,Medium,30,98.80,0.00,0.00,true
5G,Heavy,1,174.20,0.00,0.00,true
5G,Heavy,2,131.10,0.00,0.00,true
5G,Heavy,3,184.90,0.00,0.00,true
5G,Heavy,4,147.30,0.00,0.00,true
5G,Heavy,5,189.30,0.00,0.00,true
5G,Heavy,6,189.10,0.00,0.00,true
5G,Heavy,7,187.70,0.00,0.00,true
5G,Heavy,8,190.70,0.00,0.00,true
5G,Heavy,9,158.00,0.00,0.00,true
5G,Heavy,10,153.70,0.00,0.00,true
5G,Heavy,11,188.30,0.00,0.00,true
5G,Heavy,12,232.20,0.00,0.00,true
5G,Heavy,13,152.60,0.00,0.00,true
5G,Heavy,14,168.50,0.00,0.00,true
5G,Heavy,15,148.60,0.00,0.00,true
5G,Heavy,16,156.50,0.00,0.00,true
5G,Heavy,17,128.70,0.00,0.00,true
5G,Heavy,18,147.40,0.00,0.00,true
5G,Heavy,19,158.70,0.00,0.00,true
5G,Heavy,20,268.20,0.00,0.00,true
5G,Heavy,21,140.80,0.00,0.00,true
5G,Heavy,22,148.80,0.00,0.00,true
5G,Heavy,23,150.30,0.00,0.00,true
5G,Heavy,24,151.90,0.00,0.00,true
5G,Heavy,25,271.60,0.00,0.00,true
5G,Heavy,26,145.40,0.00,0.00,true
5G,Heavy,27,161.70,0.00,0.00,true
5G,Heavy,28,160.20,0.00,0.00,true
5G,Heavy,29,139.70,0.00,0.00,true
5G,Heavy,30,164.80,0.00,0.00,true
Fast 4G,Light,1,97.00,0.00,0.00,true
Fast 4G,Light,2,93.20,0.00,0.00,true
Fast 4G,Light,3,91.70,0.00,0.00,true
Fast 4G,Light,4,93.60,0.00,0.00,true
Fast 4G,Light,5,94.00,0.00,0.00,true
Fast 4G,Light,6,94.00,0.00,0.00,true
Fast 4G,Light,7,89.80,0.00,0.00,true
Fast 4G,Light,8,113.40,0.00,0.00,true
Fast 4G,Light,9,102.30,0.00,0.00,true
Fast 4G,Light,10,94.90,0.00,0.00,true
Fast 4G,Light,11,93.10,0.00,0.00,true
Fast 4G,Light,12,95.00,0.00,0.00,true
Fast 4G,Light,13,91.80,0.00,0.00,true
Fast 4G,Light,14,91.60,0.00,0.00,true
Fast 4G,Light,15,92.80,0.00,0.00,true
Fast 4G,Light,16,80.70,0.00,0.00,true
Fast 4G,Light,17,91.60,0.00,0.00,true
Fast 4G,Light,18,93.80,0.00,0.00,true
Fast 4G,Light,19,109.20,0.00,0.00,true
Fast 4G,Light,20,99.50,0.00,0.00,true
Fast 4G,Light,21,119.00,0.00,0.00,true
Fast 4G,Light,22,118.30,0.00,0.00,true
Fast 4G,Light,23,113.10,0.00,0.00,true
Fast 4G,Light,24,92.30,0.00,0.00,true
Fast 4G,Light,25,93.20,0.00,0.00,true
Fast 4G,Light,26,95.40,0.00,0.00,true
Fast 4G,Light,27,113.10,0.00,0.00,true
Fast 4G,Light,28,89.20,0.00,0.00,true
Fast 4G,Light,29,92.70,0.00,0.00,true
