profile,mode,target,trial,FCP_ms,LCP_ms,num_started,num_success,num_canceled,num_failed,num_pending,bytes_success_total,resources_json
tc_profile,prefail-nonprimary,Heavy,1,840.00,70380.00,1,1,0,0,0,0,"[{""requestId"":""8790635261BD3058163DBA2715FB291E"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,2,112.00,67388.00,1,1,0,0,0,0,"[{""requestId"":""0983CE8583065D0390D5252BD92AB855"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,3,104.00,63444.00,1,1,0,0,0,0,"[{""requestId"":""B53C98D64114F1D6E5114D20059AB5C2"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,4,108.00,67864.00,1,1,0,0,0,0,"[{""requestId"":""B619C9A9B1B5D9787FD986D981AC7919"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,5,104.00,66048.00,1,1,0,0,0,0,"[{""requestId"":""AB88E6E504D711A97CB50CAC584F79E4"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,6,96.00,60816.00,1,1,0,0,0,0,"[{""requestId"":""E9B327939AD39E9941E9DCA4BC88E8DB"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,7,100.00,51740.00,1,1,0,0,0,0,"[{""requestId"":""9BBA5E70FD83F295A73E168116958BDE"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,8,108.00,56260.00,1,1,0,0,0,0,"[{""requestId"":""DA8998876CEBA55D4C8691128A6B7161"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,9,108.00,57620.00,1,1,0,0,0,0,"[{""requestId"":""ACCFB0BB9964D22FF9DA349260DE8D70"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Heavy,10,104.00,65220.00,1,1,0,0,0,0,"[{""requestId"":""1DA6B4836214CC2660BD2FB5793083A1"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
