Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
tc_profile,Light,1,356.00,356.00,0.01,false
tc_profile,Light,2,160.00,160.00,0.01,false
tc_profile,Light,3,256.00,0.00,0.01,false
tc_profile,Light,4,248.00,0.00,0.01,false
tc_profile,Light,5,224.00,0.00,0.01,false
tc_profile,Light,6,236.00,0.00,0.01,false
tc_profile,Light,7,240.00,0.00,0.01,false
tc_profile,Light,8,228.00,0.00,0.01,false
tc_profile,Light,9,228.00,0.00,0.01,false
tc_profile,Light,10,252.00,0.00,0.01,false
tc_profile,Light,11,228.00,0.00,0.01,false
tc_profile,Light,12,244.00,0.00,0.01,false
tc_profile,Light,13,224.00,0.00,0.01,false
tc_profile,Light,14,228.00,0.00,0.01,false
tc_profile,Light,15,236.00,0.00,0.01,false
tc_profile,Light,16,232.00,0.00,0.01,false
tc_profile,Light,17,220.00,0.00,0.01,false
tc_profile,Light,18,660.00,0.00,0.01,false
tc_profile,Light,19,260.00,0.00,0.01,false
tc_profile,Light,20,228.00,0.00,0.01,false
tc_profile,Light,21,188.00,188.00,0.01,false
tc_profile,Light,22,276.00,0.00,0.01,false
tc_profile,Light,23,240.00,0.00,0.01,false
tc_profile,Light,24,228.00,0.00,0.01,false
tc_profile,Light,25,248.00,0.00,0.01,false
tc_profile,Light,26,244.00,0.00,0.01,false
tc_profile,Light,27,232.00,0.00,0.01,false
tc_profile,Light,28,228.00,0.00,0.01,false
tc_profile,Light,29,236.00,0.00,0.01,false
tc_profile,Light,30,236.00,0.00,0.01,false
tc_profile,Light,31,236.00,0.00,0.01,false
tc_profile,Light,32,248.00,0.00,0.01,false
tc_profile,Light,33,236.00,0.00,0.01,false
tc_profile,Light,34,180.00,180.00,0.01,false
tc_profile,Light,35,260.00,0.00,0.01,false
tc_profile,Light,36,232.00,0.00,0.01,false
tc_profile,Light,37,172.00,172.00,0.01,false
tc_profile,Light,38,244.00,0.00,0.01,false
tc_profile,Light,39,236.00,0.00,0.01,false
tc_profile,Light,40,256.00,0.00,0.01,false
tc_profile,Light,41,252.00,0.00,0.01,false
tc_profile,Light,42,272.00,0.00,0.01,false
tc_profile,Light,43,192.00,192.00,0.01,false
tc_profile,Light,44,192.00,192.00,0.01,false
tc_profile,Light,45,180.00,180.00,0.01,false
tc_profile,Light,46,260.00,0.00,0.01,false
tc_profile,Light,47,272.00,0.00,0.01,false
tc_profile,Light,48,244.00,0.00,0.01,false
