Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
tc_profile,Light,1,640.00,0.00,0.01,false
tc_profile,Light,2,332.00,0.00,0.01,false
tc_profile,Light,3,352.00,0.00,0.01,false
tc_profile,Light,4,372.00,0.00,0.01,false
tc_profile,Light,5,240.00,240.00,0.01,false
tc_profile,Light,6,368.00,0.00,0.01,false
tc_profile,Light,7,316.00,0.00,0.01,false
tc_profile,Light,8,400.00,0.00,0.01,false
tc_profile,Light,9,348.00,0.00,0.01,false
tc_profile,Light,10,320.00,0.00,0.01,false
tc_profile,Light,11,360.00,0.00,0.01,false
tc_profile,Light,12,352.00,0.00,0.01,false
tc_profile,Light,13,316.00,0.00,0.01,false
tc_profile,Light,14,356.00,0.00,0.01,false
tc_profile,Light,15,344.00,0.00,0.01,false
tc_profile,Light,16,244.00,244.00,0.01,false
tc_profile,Light,17,396.00,0.00,0.01,false
tc_profile,Light,18,844.00,0.00,0.01,false
tc_profile,Light,19,364.00,0.00,0.01,false
tc_profile,Light,20,360.00,0.00,0.01,false
tc_profile,Light,21,348.00,0.00,0.01,false
tc_profile,Light,22,272.00,272.00,0.01,false
tc_profile,Light,23,364.00,0.00,0.01,false
tc_profile,Light,24,344.00,0.00,0.01,false
tc_profile,Light,25,336.00,0.00,0.01,false
tc_profile,Light,26,348.00,0.00,0.01,false
tc_profile,Light,27,356.00,0.00,0.01,false
tc_profile,Light,28,364.00,0.00,0.01,false
tc_profile,Light,29,388.00,0.00,0.01,false
tc_profile,Light,30,244.00,244.00,0.01,false
tc_profile,Light,31,364.00,0.00,0.01,false
tc_profile,Light,32,232.00,232.00,0.01,false
tc_profile,Light,33,344.00,0.00,0.01,false
tc_profile,Light,34,316.00,0.00,0.01,false
tc_profile,Light,35,332.00,0.00,0.01,false
tc_profile,Light,36,356.00,0.00,0.01,false
tc_profile,Light,37,296.00,0.00,0.01,false
tc_profile,Light,38,264.00,264.00,0.01,false
tc_profile,Light,39,364.00,0.00,0.01,false
tc_profile,Light,40,320.00,0.00,0.01,false
tc_profile,Light,41,352.00,0.00,0.01,false
tc_profile,Light,42,320.00,0.00,0.01,false
tc_profile,Light,43,324.00,0.00,0.01,false
tc_profile,Light,44,356.00,0.00,0.01,false
tc_profile,Light,45,240.00,240.00,0.01,false
tc_profile,Light,46,380.00,0.00,0.01,false
tc_profile,Light,47,352.00,0.00,0.01,false
tc_profile,Light,48,212.00,212.00,0.01,false
tc_profile,Light,49,324.00,0.00,0.01,false
tc_profile,Light,50,340.00,0.00,0.01,false
tc_profile,Light,51,256.00,256.00,0.01,false
tc_profile,Light,52,340.00,0.00,0.01,false
tc_profile,Light,53,348.00,0.00,0.01,false
tc_profile,Light,54,376.00,0.00,0.01,false
tc_profile,Light,55,368.00,0.00,0.01,false
tc_profile,Light,56,372.00,0.00,0.01,false
