Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
tc_profile,Light,1,512.00,0.00,0.01,false
tc_profile,Light,2,232.00,0.00,0.01,false
tc_profile,Light,3,220.00,0.00,0.01,false
tc_profile,Light,4,200.00,0.00,0.01,false
tc_profile,Light,5,204.00,0.00,0.01,false
tc_profile,Light,6,260.00,0.00,0.01,false
tc_profile,Light,7,224.00,0.00,0.01,false
tc_profile,Light,8,248.00,0.00,0.01,false
tc_profile,Light,9,156.00,156.00,0.01,false
tc_profile,Light,10,184.00,184.00,0.01,false
tc_profile,Light,11,236.00,0.00,0.01,false
tc_profile,Light,12,224.00,0.00,0.01,false
tc_profile,Light,13,248.00,0.00,0.01,false
tc_profile,Light,14,172.00,172.00,0.01,false
tc_profile,Light,15,244.00,0.00,0.01,false
tc_profile,Light,16,196.00,0.00,0.01,false
tc_profile,Light,17,196.00,0.00,0.01,false
tc_profile,Light,18,152.00,152.00,0.01,false
tc_profile,Light,19,176.00,0.00,0.01,false
tc_profile,Light,20,156.00,156.00,0.01,false
tc_profile,Light,21,208.00,0.00,0.01,false
tc_profile,Light,22,232.00,0.00,0.01,false
tc_profile,Light,23,252.00,0.00,0.01,false
tc_profile,Light,24,168.00,168.00,0.01,false
tc_profile,Light,25,260.00,0.00,0.01,false
tc_profile,Light,26,220.00,0.00,0.01,false
tc_profile,Light,27,252.00,0.00,0.01,false
tc_profile,Light,28,252.00,0.00,0.01,false
tc_profile,Light,29,308.00,0.00,0.01,false
tc_profile,Light,30,244.00,0.00,0.01,false
tc_profile,Light,31,256.00,0.00,0.01,false
tc_profile,Light,32,128.00,128.00,0.01,false
tc_profile,Light,33,244.00,0.00,0.01,false
tc_profile,Light,34,232.00,0.00,0.01,false
tc_profile,Light,35,252.00,0.00,0.01,false
tc_profile,Light,36,224.00,0.00,0.01,false
tc_profile,Light,37,188.00,0.00,0.01,false
tc_profile,Light,38,220.00,0.00,0.01,false
tc_profile,Light,39,180.00,0.00,0.01,false
tc_profile,Light,40,152.00,152.00,0.01,false
tc_profile,Light,41,192.00,192.00,0.01,false
tc_profile,Light,42,252.00,0.00,0.01,false
tc_profile,Light,43,224.00,0.00,0.01,false
tc_profile,Light,44,236.00,0.00,0.01,false
tc_profile,Light,45,196.00,196.00,0.01,false
tc_profile,Light,46,240.00,0.00,0.01,false
tc_profile,Light,47,280.00,0.00,0.01,false
tc_profile,Light,48,256.00,0.00,0.01,false
tc_profile,Light,49,248.00,0.00,0.01,false
tc_profile,Light,50,228.00,0.00,0.01,false
tc_profile,Light,51,192.00,192.00,0.01,false
tc_profile,Light,52,176.00,0.00,0.01,false
tc_profile,Light,53,232.00,0.00,0.01,false
tc_profile,Light,54,220.00,0.00,0.01,false
tc_profile,Light,55,284.00,0.00,0.01,false
tc_profile,Light,56,272.00,0.00,0.01,false
tc_profile,Light,57,232.00,0.00,0.01,false
tc_profile,Light,58,244.00,0.00,0.01,false
tc_profile,Light,59,268.00,0.00,0.01,false
tc_profile,Light,60,224.00,0.00,0.01,false
tc_profile,Light,61,284.00,0.00,0.01,false
tc_profile,Light,62,260.00,0.00,0.01,false
tc_profile,Light,63,624.00,0.00,0.01,false
tc_profile,Light,64,268.00,0.00,0.01,false
tc_profile,Light,65,240.00,0.00,0.01,false
tc_profile,Light,66,248.00,0.00,0.01,false
tc_profile,Light,67,276.00,0.00,0.01,false
tc_profile,Light,68,248.00,0.00,0.01,false
tc_profile,Light,69,168.00,168.00,0.01,false
tc_profile,Light,70,176.00,0.00,0.01,false
tc_profile,Light,71,180.00,0.00,0.01,false
tc_profile,Light,72,204.00,0.00,0.01,false
tc_profile,Light,73,176.00,0.00,0.01,false
tc_profile,Light,74,232.00,0.00,0.01,false
tc_profile,Light,75,208.00,0.00,0.01,false
tc_profile,Light,76,232.00,0.00,0.01,false
tc_profile,Light,77,224.00,0.00,0.01,false
tc_profile,Light,78,240.00,0.00,0.01,false
tc_profile,Light,79,276.00,0.00,0.01,false
tc_profile,Light,80,240.00,0.00,0.01,false
tc_profile,Light,81,160.00,160.00,0.01,false
tc_profile,Light,82,272.00,0.00,0.01,false
tc_profile,Light,83,240.00,0.00,0.01,false
tc_profile,Light,84,168.00,0.00,0.01,false
tc_profile,Light,85,220.00,0.00,0.01,false
tc_profile,Light,86,168.00,0.00,0.01,false
tc_profile,Light,87,220.00,0.00,0.01,false
tc_profile,Light,88,172.00,0.00,0.01,false
tc_profile,Light,89,196.00,0.00,0.01,false
tc_profile,Light,90,196.00,196.00,0.01,false
tc_profile,Light,91,208.00,0.00,0.01,false
tc_profile,Light,92,260.00,0.00,0.01,false
tc_profile,Light,93,244.00,0.00,0.01,false
tc_profile,Light,94,232.00,0.00,0.01,false
tc_profile,Light,95,192.00,0.00,0.01,false
tc_profile,Light,96,260.00,0.00,0.01,false
tc_profile,Light,97,192.00,0.00,0.01,false
tc_profile,Light,98,276.00,0.00,0.01,false
tc_profile,Light,99,220.00,0.00,0.01,false
tc_profile,Light,100,164.00,164.00,0.01,false
tc_profile,Medium,1,1160.00,356.00,1.85,false
tc_profile,Medium,2,364.00,120.00,1.85,false
tc_profile,Medium,3,384.00,152.00,1.85,false
tc_profile,Medium,4,440.00,180.00,1.85,false
tc_profile,Medium,5,380.00,160.00,1.85,false
tc_profile,Medium,6,516.00,164.00,1.85,false
tc_profile,Medium,7,392.00,332.00,1.85,false
tc_profile,Medium,8,508.00,224.00,1.85,false
tc_profile,Medium,9,536.00,212.00,1.85,false
tc_profile,Medium,10,456.00,212.00,1.85,false
tc_profile,Medium,11,596.00,244.00,1.85,false
tc_profile,Medium,12,820.00,384.00,1.85,false
tc_profile,Medium,13,512.00,200.00,1.85,false
tc_profile,Medium,14,748.00,244.00,1.85,false
tc_profile,Medium,15,700.00,244.00,1.85,false
tc_profile,Medium,16,568.00,232.00,1.85,false
tc_profile,Medium,17,660.00,576.00,1.85,false
tc_profile,Medium,18,436.00,248.00,1.85,false
tc_profile,Medium,19,452.00,192.00,1.85,false
tc_profile,Medium,20,480.00,424.00,1.85,false
tc_profile,Medium,21,428.00,160.00,1.85,false
tc_profile,Medium,22,404.00,148.00,1.85,false
tc_profile,Medium,23,520.00,192.00,1.85,false
tc_profile,Medium,24,320.00,264.00,1.85,false
tc_profile,Medium,25,472.00,196.00,1.85,false
tc_profile,Medium,26,508.00,204.00,1.85,false
tc_profile,Medium,27,420.00,368.00,1.85,false
tc_profile,Medium,28,556.00,472.00,1.85,false
tc_profile,Medium,29,480.00,192.00,1.85,false
tc_profile,Medium,30,616.00,256.00,1.85,false
tc_profile,Medium,31,572.00,220.00,1.85,false
tc_profile,Medium,32,608.00,224.00,1.85,false
tc_profile,Medium,33,536.00,244.00,1.85,false
tc_profile,Medium,34,384.00,332.00,1.85,false
tc_profile,Medium,35,372.00,164.00,1.85,false
tc_profile,Medium,36,756.00,188.00,1.85,false
tc_profile,Medium,37,524.00,192.00,1.85,false
tc_profile,Medium,38,540.00,200.00,1.85,false
tc_profile,Medium,39,528.00,168.00,1.85,false
tc_profile,Medium,40,560.00,188.00,1.85,false
tc_profile,Medium,41,2460.00,440.00,1.85,false
tc_profile,Medium,42,572.00,256.00,1.85,false
tc_profile,Medium,43,448.00,396.00,1.85,false
tc_profile,Medium,44,472.00,408.00,1.85,false
tc_profile,Medium,45,432.00,148.00,1.85,false
tc_profile,Medium,46,348.00,200.00,1.85,false
tc_profile,Medium,47,360.00,144.00,1.85,false
tc_profile,Medium,48,388.00,148.00,1.85,false
tc_profile,Medium,49,412.00,160.00,1.85,false
tc_profile,Medium,50,396.00,344.00,1.85,false
tc_profile,Medium,51,428.00,380.00,1.85,false
tc_profile,Medium,52,484.00,196.00,1.85,false
tc_profile,Medium,53,364.00,156.00,1.85,false
tc_profile,Medium,54,412.00,364.00,1.85,false
tc_profile,Medium,55,288.00,120.00,1.85,false
tc_profile,Medium,56,448.00,180.00,1.85,false
tc_profile,Medium,57,384.00,336.00,1.85,false
tc_profile,Medium,58,552.00,172.00,1.85,false
tc_profile,Medium,59,412.00,364.00,1.85,false
tc_profile,Medium,60,408.00,168.00,1.85,false
tc_profile,Medium,61,448.00,152.00,1.85,false
tc_profile,Medium,62,428.00,412.00,1.85,false
tc_profile,Medium,63,376.00,132.00,1.85,false
tc_profile,Medium,64,448.00,312.00,1.85,false
tc_profile,Medium,65,340.00,136.00,1.85,false
tc_profile,Medium,66,352.00,268.00,1.85,false
tc_profile,Medium,67,380.00,144.00,1.85,false
tc_profile,Medium,68,416.00,172.00,1.85,false
tc_profile,Medium,69,288.00,116.00,1.85,false
tc_profile,Medium,70,316.00,128.00,1.85,false
tc_profile,Medium,71,376.00,356.00,1.85,false
tc_profile,Medium,72,408.00,136.00,1.85,false
tc_profile,Medium,73,368.00,148.00,1.85,false
tc_profile,Medium,74,304.00,120.00,1.85,false
tc_profile,Medium,75,840.00,164.00,1.85,false
tc_profile,Medium,76,408.00,168.00,1.85,false
tc_profile,Medium,77,296.00,264.00,1.85,false
tc_profile,Medium,78,392.00,168.00,1.85,false
tc_profile,Medium,79,308.00,264.00,1.85,false
tc_profile,Medium,80,588.00,280.00,1.85,false
tc_profile,Medium,81,324.00,292.00,1.85,false
tc_profile,Medium,82,336.00,148.00,1.85,false
tc_profile,Medium,83,316.00,128.00,1.85,false
tc_profile,Medium,84,472.00,148.00,1.85,false
tc_profile,Medium,85,380.00,272.00,1.85,false
tc_profile,Medium,86,308.00,276.00,1.85,false
tc_profile,Medium,87,1516.00,332.00,1.85,false
tc_profile,Medium,88,472.00,188.00,1.85,false
tc_profile,Medium,89,644.00,228.00,1.85,false
tc_profile,Medium,90,584.00,200.00,1.85,false
tc_profile,Medium,91,720.00,288.00,1.85,false
tc_profile,Medium,92,1112.00,208.00,1.85,false
tc_profile,Medium,93,780.00,180.00,1.85,false
tc_profile,Medium,94,988.00,248.00,1.85,false
tc_profile,Medium,95,748.00,376.00,1.85,false
tc_profile,Medium,96,600.00,508.00,1.85,false
tc_profile,Medium,97,616.00,448.00,1.85,false
tc_profile,Medium,98,704.00,240.00,1.85,false
tc_profile,Medium,99,584.00,212.00,1.85,false
tc_profile,Medium,100,412.00,172.00,1.85,false
tc_profile,Heavy,1,404.00,404.00,12.02,false
tc_profile,Heavy,2,13524.00,152.00,12.02,false
tc_profile,Heavy,3,13896.00,196.00,12.02,false
tc_profile,Heavy,4,12356.00,168.00,12.02,false
tc_profile,Heavy,5,11972.00,212.00,12.02,false
tc_profile,Heavy,6,4040.00,192.00,12.02,false
tc_profile,Heavy,7,3340.00,156.00,12.02,false
tc_profile,Heavy,8,5060.00,140.00,12.02,false
tc_profile,Heavy,9,4376.00,188.00,12.02,false
tc_profile,Heavy,10,5232.00,140.00,12.02,false
tc_profile,Heavy,11,5220.00,184.00,12.02,false
tc_profile,Heavy,12,5788.00,208.00,12.02,false
tc_profile,Heavy,13,7780.00,204.00,12.02,false
tc_profile,Heavy,14,10824.00,184.00,12.02,false
tc_profile,Heavy,15,12788.00,128.00,12.02,false
tc_profile,Heavy,16,9464.00,172.00,12.02,false
tc_profile,Heavy,17,4904.00,160.00,12.02,false
tc_profile,Heavy,18,6176.00,128.00,12.02,false
tc_profile,Heavy,19,8160.00,128.00,12.02,false
tc_profile,Heavy,20,6596.00,120.00,12.02,false
tc_profile,Heavy,21,10612.00,140.00,12.02,false
tc_profile,Heavy,22,9152.00,192.00,12.02,false
tc_profile,Heavy,23,6008.00,160.00,12.02,false
tc_profile,Heavy,24,4648.00,120.00,12.02,false
tc_profile,Heavy,25,4704.00,136.00,12.02,false
tc_profile,Heavy,26,4856.00,168.00,12.02,false
tc_profile,Heavy,27,7036.00,132.00,12.02,false
tc_profile,Heavy,28,6340.00,180.00,12.02,false
tc_profile,Heavy,29,4844.00,148.00,12.02,false
tc_profile,Heavy,30,4212.00,128.00,12.02,false
tc_profile,Heavy,31,6936.00,156.00,12.02,false
tc_profile,Heavy,32,5384.00,164.00,12.02,false
tc_profile,Heavy,33,4616.00,164.00,12.02,false
tc_profile,Heavy,34,3520.00,116.00,12.02,false
tc_profile,Heavy,35,3476.00,128.00,12.02,false
tc_profile,Heavy,36,4276.00,156.00,12.02,false
tc_profile,Heavy,37,4192.00,112.00,12.02,false
tc_profile,Heavy,38,4360.00,160.00,12.02,false
tc_profile,Heavy,39,3852.00,128.00,12.02,false
tc_profile,Heavy,40,6196.00,132.00,12.02,false
tc_profile,Heavy,41,5912.00,188.00,12.02,false
tc_profile,Heavy,42,5524.00,164.00,12.02,false
tc_profile,Heavy,43,6836.00,120.00,12.02,false
tc_profile,Heavy,44,6036.00,156.00,12.02,false
tc_profile,Heavy,45,4396.00,164.00,12.02,false
tc_profile,Heavy,46,6644.00,136.00,12.02,false
tc_profile,Heavy,47,5292.00,152.00,12.02,false
tc_profile,Heavy,48,3944.00,112.00,12.02,false
tc_profile,Heavy,49,3656.00,128.00,12.02,false
tc_profile,Heavy,50,3856.00,128.00,12.02,false
tc_profile,Heavy,51,3036.00,116.00,12.02,false
tc_profile,Heavy,52,4212.00,124.00,12.02,false
tc_profile,Heavy,53,3136.00,128.00,12.02,false
tc_profile,Heavy,54,3820.00,112.00,12.02,false
tc_profile,Heavy,55,3096.00,116.00,12.02,false
tc_profile,Heavy,56,4644.00,112.00,12.02,false
tc_profile,Heavy,57,3852.00,108.00,12.02,false
