profile,mode,target,trial,FCP_ms,LCP_ms,num_started,num_success,num_canceled,num_failed,num_pending,bytes_success_total,resources_json
tc_profile,prefail-nonprimary,Medium,1,696.00,1296.00,2,2,0,0,0,0,"[{""requestId"":""749C2CA624DB54736BFBFBD4F1CD0572"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""BF3787D0982CAA9949CEBEA09E0E9957"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,2,184.00,436.00,2,2,0,0,0,0,"[{""requestId"":""BF87F2FF6D459729CE671638C46E914E"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""49BB3B4F4F49F81A3C35345735001ADC"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,3,176.00,440.00,2,2,0,0,0,0,"[{""requestId"":""F3F05431DFEBBC05CF699FFFFE4A5A08"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""E6975A2B174BB7AE48B023316EBA875C"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,4,356.00,500.00,2,2,0,0,0,0,"[{""requestId"":""8CAEAFB101FD04855E466EC00693515A"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""C0659E94AF2DA20BFF1FE66932994DC2"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,5,184.00,716.00,2,2,0,0,0,0,"[{""requestId"":""FCD536E0D5B7CD71EC6FC6709A93632E"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""3265FA3D1934BC2292F370A128EA0493"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,6,176.00,436.00,2,2,0,0,0,0,"[{""requestId"":""7066164FC13033669860ED7FB839D166"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""803A7E51DC518C3805A1536C1BDE38B7"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,7,208.00,508.00,2,2,0,0,0,0,"[{""requestId"":""81EDEAE7819BC5A4520C171E0A93A59C"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""D8A61FC1127334AE4039EB33425CCFF6"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,8,252.00,452.00,2,2,0,0,0,0,"[{""requestId"":""7139FD527D8FE5A4321D924988855C37"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""91DB801A0C4EF54E6C2B53545AF474CB"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,9,172.00,428.00,2,2,0,0,0,0,"[{""requestId"":""59D6A0F838B9044CE9102B84B56BA729"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""5B144A9C5A291021F56FADFADBE7AEEE"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,10,264.00,864.00,2,2,0,0,0,0,"[{""requestId"":""2282AF277B0F4468C7678F063630056C"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""E6F6F3586EE9FAAFF8EE0C6A79DE0798"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
