profile,mode,target,trial,FCP_ms,LCP_ms,num_started,num_success,num_canceled,num_failed,num_pending,bytes_success_total,resources_json
tc_profile,prefail-nonprimary,Medium,1,780.00,26692.00,2,2,0,0,0,0,"[{""requestId"":""7BBE54A1EA61B920FA1849D973EDB1CA"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""B4B2E579F75475D8BC3C4F25A26DBF4B"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,2,928.00,24592.00,2,2,0,0,0,0,"[{""requestId"":""34086376CFE716360A93F5ACD744AB5D"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""32EF77D1609B7396CC3A13715FD11F4B"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,3,720.00,22240.00,2,2,0,0,0,0,"[{""requestId"":""53F58E6B3C39B2F99BD54CD2AE484158"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""4B995521A657C1ACFBB7749948E55F8D"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,4,188.00,18572.00,2,2,0,0,0,0,"[{""requestId"":""FD02ABF3F2F01624E7B3A8FD98AA41E5"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""F1AEB3BA0CF90ECDB66E377F1FCAB127"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,5,188.00,20588.00,2,2,0,0,0,0,"[{""requestId"":""50665A0A19FDFB583B636D6D58EB9F91"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""4D3650844BBFAAC0D4263DB77217492E"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,6,196.00,16532.00,2,2,0,0,0,0,"[{""requestId"":""FE9D12CF4A55E9B9FDFE385F562B0C34"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""ECD473527986427F9C8EB9A2DA0246E3"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,7,1200.00,27180.00,2,2,0,0,0,0,"[{""requestId"":""FEE2A2A78E6E18D888909EF2E8D83788"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""A3A1F330F2C434E762143E615D73FE1A"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,8,196.00,15992.00,2,2,0,0,0,0,"[{""requestId"":""85E5469B82DB3400CEC3B31F0E5736DB"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""FD6AECB2D7A74C123C65E800A8F02D10"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,9,192.00,21788.00,2,2,0,0,0,0,"[{""requestId"":""DFC4DC0D93E94C4EF5B617FF4E7873B0"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""B34EC6F4276468D5C72F8234AD4F832A"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,10,188.00,20680.00,2,2,0,0,0,0,"[{""requestId"":""037DEC4B46F509C1CC82DDD577A783EA"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""7B55F2E9FDF4697BEE8EB0F58EB6E060"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,11,180.00,15744.00,2,2,0,0,0,0,"[{""requestId"":""52EE2F96548A4EF78C6E7129A8348278"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""80C2821F420137EC25442F69540E69DF"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,12,188.00,21048.00,2,2,0,0,0,0,"[{""requestId"":""DF473DBADC508D981127F9128EAB4452"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""A006C5507D126CD2BB7242084A1868AF"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,13,184.00,19680.00,2,2,0,0,0,0,"[{""requestId"":""16509CD4709907EDECD56128EE1FD282"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""00DFC98BD9003318A5767A1835134C29"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,14,188.00,21508.00,2,2,0,0,0,0,"[{""requestId"":""17F8F15B31F1FA2E676B9BC182D1E736"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""048159418D13E1402A2EA6F1DAE69A14"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,15,192.00,20100.00,2,2,0,0,0,0,"[{""requestId"":""220D854C48CCC3737E46B82E2F823AAE"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""ABC5F3B356238769A67DE9C11CAB899A"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,16,204.00,20960.00,2,2,0,0,0,0,"[{""requestId"":""6CE249D16FD5961D53475AAB2235F478"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""3EBFEE9872AC308E0D3A165BF157F5F3"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,17,284.00,21816.00,2,2,0,0,0,0,"[{""requestId"":""0BC96DE931A5F144255F929D213FBA56"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""AC8CB54089736E884E1D2D906751512A"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,18,560.00,16932.00,2,2,0,0,0,0,"[{""requestId"":""D3A91C841EB9CA7FCDF55A8E2D8C1136"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""531FA0253AB060E4229B53F50582A84F"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,19,192.00,20800.00,2,2,0,0,0,0,"[{""requestId"":""0F070F15F68314F7F0FFD7B4E526D55F"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""3250059D8F4740DDC738327F2899C068"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,20,200.00,19816.00,2,2,0,0,0,0,"[{""requestId"":""83B7E360437F179A8F88CAC7A0FA33E6"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""F5EF609AED76F2320489DC6BB1248DA7"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,21,188.00,21272.00,2,2,0,0,0,0,"[{""requestId"":""9B1C11223D403892AAEA919DC079E0D4"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""11374567AA931340A171663C003C7A4D"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
tc_profile,prefail-nonprimary,Medium,22,308.00,20716.00,2,2,0,0,0,0,"[{""requestId"":""CC59B632599B8B08A88EDC2F35C2661E"",""url"":""https://attack.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null},{""requestId"":""159AF32E810F2107ECF0118F6E082377"",""url"":""https://victim.lab-ish.com/"",""type"":""Prefetch"",""status"":""success"",""encodedDataLength"":0,""errorText"":null}]"
