Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
vanilla,Light,1,412.00,412.00,0.01,false
vanilla,Light,2,196.00,196.00,0.01,false
vanilla,Light,3,200.00,200.00,0.01,false
vanilla,Light,4,200.00,200.00,0.01,false
vanilla,Light,5,124.00,124.00,0.01,false
vanilla,Light,6,176.00,176.00,0.01,false
vanilla,Light,7,172.00,172.00,0.01,false
vanilla,Light,8,144.00,144.00,0.01,false
vanilla,Light,9,140.00,140.00,0.01,false
vanilla,Light,10,172.00,172.00,0.01,false
vanilla,Light,11,176.00,176.00,0.01,false
vanilla,Light,12,140.00,140.00,0.01,false
vanilla,Light,13,172.00,172.00,0.01,false
vanilla,Light,14,196.00,196.00,0.01,false
vanilla,Light,15,176.00,176.00,0.01,false
vanilla,Light,16,168.00,168.00,0.01,false
vanilla,Light,17,768.00,768.00,0.01,false
vanilla,Light,18,204.00,204.00,0.01,false
vanilla,Light,19,204.00,204.00,0.01,false
vanilla,Light,20,196.00,196.00,0.01,false
vanilla,Light,21,204.00,204.00,0.01,false
vanilla,Light,22,188.00,188.00,0.01,false
vanilla,Light,23,176.00,176.00,0.01,false
vanilla,Light,24,168.00,168.00,0.01,false
vanilla,Light,25,176.00,176.00,0.01,false
vanilla,Light,26,168.00,168.00,0.01,false
vanilla,Light,27,192.00,192.00,0.01,false
vanilla,Light,28,184.00,184.00,0.01,false
vanilla,Light,29,192.00,192.00,0.01,false
vanilla,Light,30,136.00,136.00,0.01,false
vanilla,Medium,1,832.00,296.00,1.85,false
vanilla,Medium,2,316.00,132.00,1.85,false
vanilla,Medium,3,436.00,136.00,1.85,false
vanilla,Medium,4,952.00,152.00,1.85,false
vanilla,Medium,5,516.00,148.00,1.85,false
vanilla,Medium,6,856.00,140.00,1.85,false
vanilla,Medium,7,536.00,136.00,1.85,false
vanilla,Medium,8,836.00,152.00,1.85,false
vanilla,Medium,9,2212.00,144.00,1.85,false
vanilla,Medium,10,2072.00,140.00,1.85,false
vanilla,Medium,11,1460.00,144.00,1.85,false
vanilla,Medium,12,820.00,136.00,1.85,false
vanilla,Medium,13,984.00,152.00,1.85,false
vanilla,Medium,14,828.00,144.00,1.85,false
vanilla,Medium,15,844.00,144.00,1.85,false
vanilla,Medium,16,460.00,244.00,1.85,false
vanilla,Medium,17,728.00,144.00,1.85,false
vanilla,Medium,18,636.00,204.00,1.85,false
vanilla,Medium,19,828.00,292.00,1.85,false
vanilla,Medium,20,920.00,152.00,1.85,false
vanilla,Medium,21,764.00,232.00,1.85,false
vanilla,Medium,22,576.00,144.00,1.85,false
vanilla,Medium,23,288.00,288.00,1.85,false
vanilla,Medium,24,432.00,200.00,1.85,false
vanilla,Medium,25,992.00,144.00,1.85,false
vanilla,Medium,26,928.00,248.00,1.85,false
vanilla,Medium,27,888.00,340.00,1.85,false
vanilla,Medium,28,528.00,196.00,1.85,false
vanilla,Medium,29,800.00,152.00,1.85,false
vanilla,Medium,30,748.00,148.00,1.85,false
vanilla,Heavy,1,3304.00,452.00,12.02,false
vanilla,Heavy,2,3552.00,132.00,12.02,false
vanilla,Heavy,3,3428.00,128.00,12.02,false
vanilla,Heavy,4,3816.00,132.00,12.02,false
vanilla,Heavy,5,2908.00,144.00,12.02,false
vanilla,Heavy,6,3528.00,128.00,12.02,false
vanilla,Heavy,7,3924.00,356.00,12.02,false
vanilla,Heavy,8,2676.00,144.00,12.02,false
vanilla,Heavy,9,2284.00,132.00,12.02,false
vanilla,Heavy,10,2756.00,140.00,12.02,false
vanilla,Heavy,11,4768.00,136.00,12.02,false
vanilla,Heavy,12,4052.00,136.00,12.02,false
vanilla,Heavy,13,4488.00,136.00,12.02,false
vanilla,Heavy,14,4244.00,128.00,12.02,false
vanilla,Heavy,15,3488.00,140.00,12.02,false
vanilla,Heavy,16,3336.00,136.00,12.02,false
vanilla,Heavy,17,3284.00,132.00,12.02,false
vanilla,Heavy,18,4676.00,128.00,12.02,false
vanilla,Heavy,19,3244.00,128.00,12.02,false
vanilla,Heavy,20,6800.00,616.00,12.02,false
vanilla,Heavy,21,7040.00,140.00,12.02,false
vanilla,Heavy,22,2292.00,144.00,12.02,false
vanilla,Heavy,23,3868.00,136.00,12.02,false
vanilla,Heavy,24,3440.00,124.00,12.02,false
vanilla,Heavy,25,5312.00,132.00,12.02,false
vanilla,Heavy,26,7596.00,132.00,12.02,false
vanilla,Heavy,27,4888.00,136.00,12.02,false
vanilla,Heavy,28,4156.00,124.00,12.02,false
vanilla,Heavy,29,4076.00,128.00,12.02,false
vanilla,Heavy,30,4800.00,136.00,12.02,false
