Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
5G,Light,1,348.00,348.00,0.01,false
5G,Light,2,164.00,164.00,0.01,false
5G,Light,3,160.00,160.00,0.01,false
5G,Light,4,156.00,156.00,0.01,false
5G,Light,5,164.00,164.00,0.01,false
5G,Light,6,168.00,168.00,0.01,false
5G,Light,7,180.00,180.00,0.01,false
5G,Light,8,152.00,152.00,0.01,false
5G,Light,9,164.00,164.00,0.01,false
5G,Light,10,176.00,176.00,0.01,false
5G,Light,11,168.00,168.00,0.01,false
5G,Light,12,160.00,160.00,0.01,false
5G,Light,13,168.00,168.00,0.01,false
5G,Light,14,180.00,180.00,0.01,false
5G,Light,15,188.00,188.00,0.01,false
5G,Light,16,184.00,184.00,0.01,false
5G,Light,17,160.00,160.00,0.01,false
5G,Light,18,172.00,172.00,0.01,false
5G,Light,19,164.00,164.00,0.01,false
5G,Light,20,176.00,176.00,0.01,false
5G,Light,21,172.00,172.00,0.01,false
5G,Light,22,168.00,168.00,0.01,false
5G,Light,23,180.00,180.00,0.01,false
5G,Light,24,168.00,168.00,0.01,false
5G,Light,25,160.00,160.00,0.01,false
5G,Light,26,160.00,160.00,0.01,false
5G,Light,27,168.00,168.00,0.01,false
5G,Light,28,156.00,156.00,0.01,false
5G,Light,29,164.00,164.00,0.01,false
5G,Light,30,160.00,160.00,0.01,false
5G,Medium,1,784.00,320.00,1.85,false
5G,Medium,2,432.00,132.00,1.85,false
5G,Medium,3,516.00,148.00,1.85,false
5G,Medium,4,540.00,192.00,1.85,false
5G,Medium,5,544.00,128.00,1.85,false
5G,Medium,6,780.00,128.00,1.85,false
5G,Medium,7,584.00,184.00,1.85,false
5G,Medium,8,296.00,112.00,1.85,false
5G,Medium,9,556.00,172.00,1.85,false
5G,Medium,10,504.00,120.00,1.85,false
5G,Medium,11,520.00,220.00,1.85,false
5G,Medium,12,700.00,116.00,1.85,false
5G,Medium,13,424.00,124.00,1.85,false
5G,Medium,14,492.00,128.00,1.85,false
5G,Medium,15,560.00,128.00,1.85,false
5G,Medium,16,548.00,128.00,1.85,false
5G,Medium,17,592.00,128.00,1.85,false
5G,Medium,18,416.00,216.00,1.85,false
5G,Medium,19,408.00,124.00,1.85,false
5G,Medium,20,580.00,128.00,1.85,false
5G,Medium,21,552.00,168.00,1.85,false
5G,Medium,22,760.00,180.00,1.85,false
5G,Medium,23,308.00,124.00,1.85,false
5G,Medium,24,460.00,160.00,1.85,false
5G,Medium,25,772.00,188.00,1.85,false
5G,Medium,26,668.00,204.00,1.85,false
5G,Medium,27,692.00,128.00,1.85,false
5G,Medium,28,516.00,116.00,1.85,false
5G,Medium,29,1044.00,128.00,1.85,false
5G,Medium,30,764.00,196.00,1.85,false
5G,Heavy,1,6796.00,280.00,12.02,false
5G,Heavy,2,4472.00,140.00,12.02,false
5G,Heavy,3,5484.00,136.00,12.02,false
5G,Heavy,4,3724.00,124.00,12.02,false
5G,Heavy,5,3548.00,128.00,12.02,false
5G,Heavy,6,2496.00,128.00,12.02,false
5G,Heavy,7,2736.00,120.00,12.02,false
5G,Heavy,8,3772.00,136.00,12.02,false
5G,Heavy,9,3648.00,132.00,12.02,false
5G,Heavy,10,3628.00,128.00,12.02,false
5G,Heavy,11,4508.00,124.00,12.02,false
5G,Heavy,12,3060.00,128.00,12.02,false
5G,Heavy,13,1988.00,120.00,12.02,false
5G,Heavy,14,1780.00,132.00,12.02,false
5G,Heavy,15,3072.00,124.00,12.02,false
5G,Heavy,16,2452.00,136.00,12.02,false
5G,Heavy,17,4360.00,128.00,12.02,false
5G,Heavy,18,4636.00,136.00,12.02,false
5G,Heavy,19,3928.00,128.00,12.02,false
5G,Heavy,20,2884.00,136.00,12.02,false
5G,Heavy,21,4516.00,532.00,12.02,false
5G,Heavy,22,5108.00,128.00,12.02,false
5G,Heavy,23,4144.00,128.00,12.02,false
5G,Heavy,24,1900.00,116.00,12.02,false
5G,Heavy,25,3892.00,124.00,12.02,false
5G,Heavy,26,2704.00,120.00,12.02,false
5G,Heavy,27,1428.00,112.00,12.02,false
5G,Heavy,28,3540.00,124.00,12.02,false
5G,Heavy,29,2776.00,128.00,12.02,false
5G,Heavy,30,2148.00,132.00,12.02,false
Fast 4G,Light,1,588.00,588.00,0.01,false
Fast 4G,Light,2,160.00,160.00,0.01,false
Fast 4G,Light,3,164.00,164.00,0.01,false
Fast 4G,Light,4,160.00,160.00,0.01,false
Fast 4G,Light,5,184.00,184.00,0.01,false
Fast 4G,Light,6,188.00,188.00,0.01,false
Fast 4G,Light,7,164.00,164.00,0.01,false
Fast 4G,Light,8,160.00,160.00,0.01,false
Fast 4G,Light,9,132.00,132.00,0.01,false
Fast 4G,Light,10,160.00,160.00,0.01,false
Fast 4G,Light,11,156.00,156.00,0.01,false
Fast 4G,Light,12,164.00,164.00,0.01,false
Fast 4G,Light,13,160.00,160.00,0.01,false
Fast 4G,Light,14,168.00,168.00,0.01,false
Fast 4G,Light,15,128.00,128.00,0.01,false
Fast 4G,Light,16,160.00,160.00,0.01,false
Fast 4G,Light,17,156.00,156.00,0.01,false
Fast 4G,Light,18,168.00,168.00,0.01,false
Fast 4G,Light,19,128.00,128.00,0.01,false
Fast 4G,Light,20,156.00,156.00,0.01,false
Fast 4G,Light,21,168.00,168.00,0.01,false
Fast 4G,Light,22,156.00,156.00,0.01,false
Fast 4G,Light,23,164.00,164.00,0.01,false
Fast 4G,Light,24,176.00,176.00,0.01,false
Fast 4G,Light,25,164.00,164.00,0.01,false
Fast 4G,Light,26,164.00,164.00,0.01,false
Fast 4G,Light,27,160.00,160.00,0.01,false
Fast 4G,Light,28,168.00,168.00,0.01,false
Fast 4G,Light,29,164.00,164.00,0.01,false
Fast 4G,Light,30,164.00,164.00,0.01,false
Fast 4G,Medium,1,852.00,516.00,1.85,false
Fast 4G,Medium,2,276.00,124.00,1.85,false
Fast 4G,Medium,3,424.00,156.00,1.85,false
Fast 4G,Medium,4,616.00,116.00,1.85,false
Fast 4G,Medium,5,372.00,124.00,1.85,false
Fast 4G,Medium,6,600.00,120.00,1.85,false
Fast 4G,Medium,7,204.00,204.00,1.85,false
Fast 4G,Medium,8,240.00,108.00,1.85,false
Fast 4G,Medium,9,416.00,116.00,1.85,false
Fast 4G,Medium,10,436.00,120.00,1.85,false
Fast 4G,Medium,11,376.00,128.00,1.85,false
Fast 4G,Medium,12,652.00,168.00,1.85,false
Fast 4G,Medium,13,352.00,120.00,1.85,false
Fast 4G,Medium,14,312.00,112.00,1.85,false
Fast 4G,Medium,15,532.00,116.00,1.85,false
Fast 4G,Medium,16,544.00,164.00,1.85,false
Fast 4G,Medium,17,324.00,124.00,1.85,false
Fast 4G,Medium,18,352.00,120.00,1.85,false
Fast 4G,Medium,19,204.00,120.00,1.85,false
Fast 4G,Medium,20,224.00,108.00,1.85,false
Fast 4G,Medium,21,476.00,112.00,1.85,false
Fast 4G,Medium,22,380.00,128.00,1.85,false
Fast 4G,Medium,23,200.00,116.00,1.85,false
Fast 4G,Medium,24,816.00,116.00,1.85,false
Fast 4G,Medium,25,684.00,116.00,1.85,false
Fast 4G,Medium,26,576.00,108.00,1.85,false
Fast 4G,Medium,27,692.00,128.00,1.85,false
Fast 4G,Medium,28,232.00,116.00,1.85,false
Fast 4G,Medium,29,796.00,112.00,1.85,false
Fast 4G,Medium,30,300.00,120.00,1.85,false
Fast 4G,Heavy,1,3740.00,120.00,12.02,false
Fast 4G,Heavy,2,1664.00,112.00,12.02,false
Fast 4G,Heavy,3,2280.00,128.00,12.02,false
Fast 4G,Heavy,4,3052.00,116.00,12.02,false
Fast 4G,Heavy,5,2484.00,116.00,12.02,false
Fast 4G,Heavy,6,2592.00,112.00,12.02,false
Fast 4G,Heavy,7,4380.00,112.00,12.02,false
