Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
vanilla,Light,1,116.20,0.00,0.01,true
vanilla,Medium,1,122.20,0.00,1.85,true
vanilla,Heavy,1,202.90,0.00,12.02,true
Fast 4G,Light,1,180.00,0.00,0.01,false
Fast 4G,Medium,1,856.00,140.00,1.85,false
Fast 4G,Heavy,1,4860.00,128.00,12.02,false
Regular 4G,Light,1,168.00,0.00,0.01,false
Regular 4G,Medium,1,528.00,176.00,1.85,false
Regular 4G,Heavy,1,4372.00,140.00,12.02,false
Fast 3G,Light,1,192.00,0.00,0.01,false
Fast 3G,Medium,1,9420.00,136.00,1.85,false
Fast 3G,Heavy,1,58464.00,164.00,12.02,false
Slow 3G,Light,1,380.00,0.00,0.01,false
Slow 3G,Medium,1,36940.00,172.00,1.85,false
Slow 3G,Heavy,1,TimeOut,TimeOut,0,FALSE
