Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered,ActivationStart_ms
vanilla,Light,1,TimeOut,TimeOut,0,FALSE,0
vanilla,Light,2,924.00,0.00,0.01,false,0.00
vanilla,Light,3,172.00,0.00,0.01,false,0.00
vanilla,Light,4,176.00,0.00,0.01,false,0.00
vanilla,Light,5,172.00,0.00,0.01,false,0.00
vanilla,Medium,1,972.00,672.00,1.85,false,0.00
vanilla,Medium,2,468.00,132.00,1.85,false,0.00
vanilla,Medium,3,332.00,148.00,1.85,false,0.00
vanilla,Medium,4,1220.00,136.00,1.85,false,0.00
vanilla,Medium,5,604.00,152.00,1.85,false,0.00
vanilla,Heavy,1,5388.00,708.00,12.02,false,0.00
vanilla,Heavy,2,4192.00,144.00,12.02,false,0.00
vanilla,Heavy,3,6780.00,128.00,12.02,false,0.00
vanilla,Heavy,4,9984.00,136.00,12.02,false,0.00
vanilla,Heavy,5,6456.00,140.00,12.02,false,0.00
Fast 4G,Light,1,188.00,0.00,0.01,false,0.00
